項目別,求職人數新登記總計,求職人數新登記男,求職人數新登記女,求職人數有效總計,求職人數有效男,求職人數有效女,求才人數新登記,求才人數有效,求職推介就業人數新登記總計,求職推介就業人數新登記男,求職推介就業人數新登記女,求職推介就業人數有效總計,求職推介就業人數有效男,求職推介就業人數有效女,求才僱用人數新登記,求才僱用人數有效,推介人次新登記,推介人次新登記男,推介人次新登記女,推介人次有效總計,推介人次有效男,推介人次有效女
總計,5331,2401,2930,14472,6304,8168,8828,15367,1367,601,766,4018,1747,2271,2697,4689,6283,2732,3551,8360,3613,4747
1 民意代表、主管及經理人員,517,330,187,1464,889,575,205,379,89,62,27,336,209,127,24,41,336,215,121,465,297,168
  11 民意代表、高階主管及總執行長,70,49,21,221,153,68,2,5,14,13,1,57,45,12,1,2,72,53,19,95,68,27
  12 行政及商業經理人員,293,170,123,819,445,374,24,64,46,22,24,178,85,93,4,4,186,112,74,261,158,103
  13 生產及專業服務經理人員,117,86,31,304,225,79,12,42,21,20,1,68,57,11,9,9,37,28,9,54,42,12
  14 餐旅、零售及其他場所服務經理人員,37,25,12,120,66,54,167,268,8,7,1,33,22,11,10,26,41,22,19,55,29,26
2.專業人員,1605,857,748,4097,2083,2014,581,1290,377,194,183,1063,553,510,165,231,1510,859,651,1906,1056,850
  21 科學及工程專業人員,513,315,198,1373,819,554,292,651,104,66,38,345,221,124,82,90,472,310,162,592,393,199
  22 醫療保健專業人員,69,18,51,159,37,122,33,133,32,5,27,61,14,47,0,44,56,10,46,69,11,58
  23 教學專業人員,47,16,31,195,48,147,14,28,7,2,5,46,12,34,14,24,38,11,27,63,18,45
  24 商業及行政專業人員,460,158,302,1230,410,820,62,107,93,28,65,301,97,204,21,25,414,148,266,548,181,367
  25 資訊及通訊專業人員,435,325,110,931,693,238,157,346,119,89,30,254,190,64,47,47,489,372,117,581,437,144
  26 法律、社會及文化專業人員,81,25,56,209,76,133,23,25,22,4,18,56,19,37,1,1,41,8,33,53,16,37
3 技術員及助理專業人員,729,391,338,2065,1111,954,500,952,176,91,85,546,285,261,145,241,719,398,321,984,561,423
  31 科學及工程助理專業人員,108,83,25,276,204,72,110,277,36,30,6,81,61,20,25,31,110,82,28,155,119,36
